ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_r petroR90_r
1237651822173618372 218.467663693769 3.76110962973006 0.02770261 0.5891777 38.5118 20.39575 18.5378 17.75099 17.39275 17.23184 20.09155 18.37562 17.55731 17.20403 16.95672 0.1586426 0.1236133 0.08551508 0.06354687 0.0472672 3.181875 3.486164 3.33896 3.023907 3.065485 1.555531 3.682901
1237651822173618258 218.481788688265 3.81173872489727 0.02789883 0.9305596 125.1849 19.36695 17.47832 16.65676 16.25419 15.97108 19.29491 17.41946 16.57684 16.19087 15.89686 0.1574719 0.122701 0.08488402 0.06307792 0.04691838 3.116739 2.909714 2.856388 2.794775 3.052665 1.388351 3.682446
1237651821636747416 218.466856426157 3.46096442298704 0.0313894 0.3967142 50.38205 19.3611 17.7785 17.00823 16.67669 16.46885 19.56702 17.79099 17.06227 16.70021 16.41898 0.1482305 0.1155002 0.07990251 0.05937612 0.04416493 7.163749 5.729558 5.827271 5.749491 5.729792 2.79213 6.287719
1237651755078254741 166.625468955891 3.3439935527942 0.03169068 0.09688731 65.04955 19.53713 18.02889 17.48416 17.43803 17.4821 19.37083 17.96683 17.41925 17.18465 16.98429 0.2472432 0.1926502 0.1332745 0.09903727 0.07366553 2.96989 10.45691 10.31164 9.84813 8.189263 4.469048 9.180398
1237651754543284288 171.125137115362 2.98422220139096 0.03351888 0.6601797 78.4439 16.34275 15.42648 15.21139 15.04983 14.99754 15.97463 15.15421 14.99498 14.83403 14.75695 0.1749835 0.136346 0.09432352 0.07009248 0.05213593 42.44577 8.342293 8.818685 9.058948 8.383068 4.034686 11.14082
1237651754536206423 154.803632899157 2.73754712889616 0.04480927 1 83.69798 19.81544 18.0214 17.18227 16.81012 16.53358 19.74215 17.94199 17.11617 16.74584 16.42337 0.2020335 0.1574231 0.1089046 0.08092778 0.0601954 8.394522 2.662542 2.743067 11.88874 2.539521 1.292942 3.991191
1237651752930705639 166.623331715104 1.67587073484094 0.0311747 0.3056405 21.07143 18.00409 17.12536 16.84256 16.66018 16.58676 18.01671 17.14312 16.91299 16.72362 16.5833 0.1800892 0.1403243 0.09707567 0.07213763 0.05365714 3.932622 3.944907 4.023906 4.112456 3.871259 1.908138 4.813046
1237651737383665849 216.807406254048 2.84683967372548 0.03566016 0.9728201 182.2387 17.12375 15.39437 14.58062 14.17922 13.89073 17.09665 15.24938 14.40859 14.00944 13.71293 0.1349002 0.1051133 0.07271691 0.05403645 0.0401932 15.1354 10.28345 9.569663 9.938243 9.21132 4.036562 12.98599
1237651700841447510 131.541093947776 53.870631466891 0.04590999 0.3341676 86.94075 19.19046 17.82369 16.95527 16.48309 16.63286 19.72164 17.86646 16.98077 16.51667 16.21581 0.1087217 0.08471522 0.0586056 0.04355024 0.03239338 27.92126 7.394205 7.134379 7.570357 6.138466 3.026883 7.323799
1237651700841447505 131.548509906078 53.8938101602883 0.04715295 1 145.2203 18.72901 16.7576 15.91195 15.39 15.16478 18.56189 16.61722 15.77608 15.31063 15.03537 0.1104769 0.08608285 0.05955172 0.04425331 0.03291633 5.00464 4.761773 4.555279 129.2744 4.621542 2.049611 6.249734
