objID,ra,dec,z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1237666339726426329,17.9907578846231,0.409485809505825,0.04371929,18.60211,17.51917,17.06813,16.77335,16.59395,18.36419,17.339,16.91912,16.64402,16.47416
1237666339726622857,18.4024794127152,0.406944998395007,0.04581222,19.33695,17.79664,17.04044,16.69697,16.42439,19.20982,17.58842,16.84501,16.50375,16.23572
1237666339727016158,19.3422451807909,0.300007838965197,0.04049385,18.93689,17.28456,16.50603,16.13747,15.9002,19.01217,17.22447,16.42144,16.04392,15.75459
1237666406848135303,37.2743917610228,-0.854466233903013,0.03855022,18.86071,17.37128,16.63028,16.29445,16.0876,18.95816,17.32436,16.59605,16.25,15.97973
1237666407366197460,354.39335445724,-0.503861455972746,0.03556103,17.89993,16.6819,15.95113,15.58542,15.31687,18.13559,16.53466,15.71486,15.33806,15.03213
1237666407381270682,28.7580351808124,-0.626467065228605,0.02272191,19.40306,18.13293,17.89359,17.78984,17.63652,19.07287,18.19884,17.99993,17.91007,17.78304
1237666407382188074,30.9011208595228,-0.491416744707457,0.03355898,20.04954,17.7359,17.28871,16.9855,17.20705,19.21323,17.68408,17.30825,16.9751,17.08337
1237666407918141542,28.7782300600123,-0.18478524362163,0.04789012,18.3799,17.56787,17.22992,17.05583,16.96767,18.49572,17.59522,17.25892,17.02743,16.90325
1237668670790369495,155.336269695205,60.9741726285869,0.03054333,18.24816,17.20349,16.70627,16.42434,16.17626,18.44169,17.25602,16.69117,16.38471,16.10935
1237668670790369503,155.335311585386,61.0601389091166,0.03079759,18.40418,17.49305,17.09451,16.88702,16.77065,18.35602,17.46184,17.12419,16.93905,16.78863
1237670961081024769,31.6690937745394,13.4399630025202,0.0256849,17.88477,16.85677,16.3085,15.91498,15.88663,18.01629,16.84742,16.28744,15.96163,15.79247
1237671266034974944,191.550595757453,3.17431466367108,0.04726138,18.05767,16.61391,16.20296,15.94389,16.06313,17.87481,16.56659,16.22215,15.97869,15.88463
1237671767461396524,227.053867635981,56.4227835542568,0.02954111,17.10992,15.75255,15.15219,14.83245,14.54169,16.91409,15.62155,15.01079,14.66139,14.34678
1237671767997939947,225.612380965544,56.3675602450331,0.03865223,18.28621,17.23891,16.93888,16.81914,16.80288,18.30146,17.25157,16.89947,16.72337,16.69264
1237671936041353580,254.817812431204,40.617104842987,0.03009875,18.82294,17.34123,16.62064,16.25163,16.03308,18.71161,17.08341,16.35651,15.99507,15.72655
1237671939260350576,227.068293172552,56.6688670439742,0.02917487,17.63585,15.97809,15.22772,14.82627,14.54529,17.70285,15.92182,15.14003,14.72634,14.43478
1237671939798663417,231.758288430619,59.0166121296107,0.04509509,18.07748,16.87895,16.33844,16.01474,15.7263,18.27239,16.92501,16.32295,15.95971,15.68022
1237673700742135914,37.2465870253652,-8.51550937256044,0.03863,16.35863,15.05222,14.38965,14.063,13.93983,16.51801,14.96916,14.21927,13.83761,13.56911
1237673705042280817,118.160863607191,41.3647985795327,0.04135705,18.87885,17.49666,16.91648,16.57606,16.35947,18.92854,17.50501,16.95159,16.64039,16.38965
1237673705043198072,120.878411937719,41.9123609406086,0.03101879,19.26915,17.30927,16.50268,16.07324,15.85671,19.14495,17.36483,16.56865,16.19756,15.93546
1237674289681793214,118.185238973426,33.6990891208602,0.04950601,19.95758,18.27912,17.51062,17.03414,16.75216,19.93952,18.35601,17.54083,17.05374,16.71977
1237674478122369048,213.122298723313,64.376817101772,0.03583218,17.00205,15.331,14.61507,14.26888,14.03976,16.98023,15.21978,14.48831,14.14996,13.91276
1237674602141253838,210.185708199903,0.695341408932504,0.04306658,18.69315,16.69479,15.8555,15.45258,15.16014,18.53227,16.55916,15.7091,15.32508,15.02929
1237674602679566613,213.113993327849,-0.853767240359403,0.03248601,19.59333,17.71449,17.00496,16.66645,16.42173,19.51888,17.80915,17.03827,16.65348,16.37602
1237674603215323186,211.150135713254,0.851285720980979,0.03156494,17.86016,16.40389,15.78311,15.47853,15.24971,17.85534,16.41821,15.83028,15.51141,15.24176
1237674603752063106,211.173918714785,1.4613066846406,0.03245895,18.7695,17.24149,16.46211,16.0753,15.8068,18.75934,17.10855,16.32826,15.94495,15.64298
1237674649924337919,170.061740590056,-0.269987477965631,0.04028616,19.04288,17.93373,17.35138,17.09869,16.85512,19.14856,17.94066,17.37555,17.08228,16.81621
1237674650995589248,164.388096106882,0.437782121866091,0.02608473,19.60073,17.28413,16.88614,16.7254,16.68127,18.6907,17.25682,16.81529,16.62588,16.48632
1237674651534950590,170.055722905163,0.942776960775778,0.02321383,18.55893,17.86514,17.53618,17.36569,17.58177,18.81853,17.84871,17.54323,17.35585,17.31413
1237678433791311995,7.12272264603335,0.781021845061593,0.04030133,17.13917,15.65095,14.8466,14.45448,14.16103,17.29768,15.49637,14.66035,14.27383,13.93929
1237679454919590077,346.898780004161,15.4650721034123,0.03639083,18.21913,16.79918,15.97822,15.49906,15.19182,18.46516,16.84643,15.98761,15.48009,15.11936
1237648674530197810,239.389567873061,0.316140082309149,0.03213125,18.62984,16.89675,16.10096,15.67655,15.30496,18.54237,16.86702,16.04577,15.5879,15.21532
1237648702984290679,224.128165211637,-1.21727854261215,0.04185052,18.60966,17.30571,16.8773,16.60915,16.79291,18.42021,17.29768,16.84572,16.55041,16.38874
1237648702992613539,243.121826567099,-1.16949457629476,0.04901139,21.30146,18.9343,17.98261,17.41356,17.16497,20.68094,19.02717,17.99726,17.42833,16.95318
1237648704045187240,194.803599880041,-0.256593607674442,0.04651669,19.18758,18.08709,17.66661,17.43561,17.31259,18.94491,17.94804,17.55084,17.30259,17.15422
1237648704052396090,211.262115378781,-0.251408613872248,0.03281746,17.33169,15.9854,15.27655,14.90878,14.60942,17.60775,16.14782,15.41296,15.01297,14.64746
1237648704584155297,199.571885104857,0.0949471527271896,0.04809076,20.2643,18.52793,17.58928,17.0948,16.79376,20.2186,18.34393,17.37225,16.84806,16.39365
1237648704602767946,242.093733698302,0.00916494421829816,0.04920978,18.96081,17.60502,16.88288,16.49925,16.32288,18.90878,17.53466,16.8021,16.38091,16.0666
1237648705113948373,183.343440918125,0.480466775777075,0.03579888,18.68258,17.72576,17.32941,17.16795,17.25671,18.91819,17.86382,17.40355,17.12121,16.95803
1237648720163438797,194.772502470089,-0.912430482968101,0.04660146,19.12853,17.47032,16.66086,16.28189,15.99544,19.14066,17.35583,16.52189,16.11772,15.80479
