ra,dec,z,c_par,fracDeV_r,velDisp,abs_model_mag_u,abs_model_mag_g,abs_model_mag_r,abs_model_mag_i,abs_model_mag_z,abs_petro_mag_u,abs_petro_mag_g,abs_petro_mag_r,abs_petro_mag_i,abs_petro_mag_z,color_u_r,color_g_r,mu_sup,petroR50_r,petroR90_r
14.4958744,-0.386827826,4.45977412E-02,2.45683646,0.746681571,59.3017006,-17.3351536,-19.1382694,-19.9180412,-20.2606583,-20.5301647,-17.1150436,-18.9270782,-19.6993713,-20.0683594,-20.2998352,2.58288765,0.779771805,20.7584667,2.05575299,5.05064869
184.381622,48.9219513,4.61325310E-02,1.95573306,7.62978718E-02,109.402199,-17.7028198,-18.9608517,-19.1823635,-19.4044266,-19.4989357,-17.5363693,-18.9725513,-19.1572819,-19.4367599,-18.8751373,1.47954369,0.221511841,22.5604458,3.74566841,7.32552767
14.5018015,-0.339504778,4.54153903E-02,2.87480497,0.866558313,40.0192719,-17.1141491,-18.7451687,-19.4966087,-19.8099327,-20.0784378,-16.8863087,-18.6247082,-19.3366890,-19.6621933,-19.8894081,2.38245964,0.751440048,20.8297977,1.80416989,5.18663645
171.639572,54.7735748,4.68858592E-02,2.79838395,0.819894314,49.4940987,-18.7619553,-19.8914757,-20.3604279,-20.6181183,-20.7668533,-18.5227661,-19.6965370,-20.2016678,-20.4340897,-20.5922050,1.59847260,0.468952179,20.2355156,2.07763696,5.81402588
201.104614,52.9602051,3.00730206E-02,2.81695580,0.956778526,131.383408,-17.3704262,-19.1359501,-19.9423008,-20.2961922,-20.5948563,-17.2903061,-19.0341625,-19.8280888,-20.1974525,-20.4837036,2.57187462,0.806350708,19.1449261,1.09376383,3.08108473
244.177261,38.2979507,3.36972289E-02,1.90263534,0.00000000,52.2543297,-17.7868671,-18.9064426,-19.3445320,-19.5492115,-19.6996269,-17.8721581,-18.8509617,-19.2651024,-19.4190102,-19.5325775,1.55766487,0.438089371,21.8653851,2.92658496,5.56822395
246.414108,39.5461311,3.02057602E-02,2.86896086,0.986646414,164.073303,-17.8542175,-19.7206020,-20.5498295,-20.9292088,-21.2073059,-17.9060783,-19.6672115,-20.4790382,-20.8678970,-21.1210556,2.69561195,0.829227448,19.0649509,1.42801833,4.09692907
246.391449,39.6502190,3.11969500E-02,2.27408624,0.546547294,22.1357594,-16.7799492,-18.1529217,-18.7777424,-19.0751534,-19.2470093,-16.6393814,-17.7832508,-18.3270741,-18.6462326,-18.7836494,1.99779320,0.624820709,22.6219883,2.72340870,6.19326639
246.975479,39.7366676,2.92056594E-02,3.13085532,1.00000000,69.7904129,-18.3742828,-19.5757465,-20.1277714,-20.3393173,-20.5543022,-18.0579033,-19.3945179,-19.9867992,-20.1176872,-20.3534927,1.75348854,0.552024841,20.5128517,2.22165322,6.95567513
246.983337,39.5682716,3.11897192E-02,3.27326465,1.00000000,144.962006,-18.5143661,-20.3198299,-21.1141415,-21.4726410,-21.7466774,-18.4620972,-20.2231693,-20.9998722,-21.3660603,-21.5981064,2.59977531,0.794311523,19.5392876,2.25621152,7.38517714
212.421555,58.1382408,3.94096002E-02,2.14841127,7.39558414E-02,0.00000000,-17.1048222,-18.6416149,-19.2362652,-19.5280075,-19.7316780,-16.9197617,-18.6121559,-19.1754856,-19.4872684,-19.6388683,2.13144302,0.594650269,21.6884308,2.57324791,5.52839518
7.63887310,0.139809921,4.54763807E-02,2.56983232,0.759451330,51.4411201,-16.6407700,-18.2436619,-18.9336224,-19.2376347,-19.4924507,-16.6031609,-18.1694317,-18.8472118,-19.1475449,-19.4229107,2.29285240,0.689960480,19.4748306,0.778973937,2.00183225
246.966904,39.3424339,3.08218300E-02,2.88568354,1.00000000,99.4214401,-17.2702579,-18.9535542,-19.7041721,-20.0346680,-20.3224297,-17.1907482,-18.8728352,-19.6102524,-19.9461594,-20.2064705,2.43391418,0.750617981,19.2042103,1.01940167,2.94167089
45.1000786,-1.13396704,3.73417586E-02,2.55974054,0.322432697,0.00000000,-18.8976555,-19.7824593,-19.9531288,-20.0871086,-20.1468544,-19.0074654,-19.8527679,-20.0359993,-20.1772079,-20.2332039,1.05547333,0.170669556,20.4872665,2.01040435,5.14611387
21.6891766,7.02046752E-02,4.83720899E-02,2.91897678,0.531601071,46.2915688,-18.6499653,-19.8850060,-20.3941784,-20.7042160,-20.9324799,-18.7062054,-19.7169647,-20.1181278,-20.3686752,-20.5546684,1.74421310,0.509172440,20.6163864,2.33040261,6.80239153
43.4168282,1.02640660E-02,2.75590606E-02,2.08751321,0.100145400,86.2114868,-17.5841560,-18.5609798,-18.9211140,-19.1288567,-19.2086868,-17.5135059,-18.5779400,-18.9086742,-19.1203861,-18.9875469,1.33695793,0.360134125,22.7705173,3.58674264,7.48737192
40.1828499,0.527030706,4.65493388E-02,2.03342247,0.321082205,53.8869209,-19.2369003,-20.4795246,-21.0212727,-21.3345833,-21.5756531,-19.5191193,-20.5388241,-21.0173016,-21.2834644,-21.5292015,1.78437233,0.541748047,21.9906712,6.63177299,13.4851961
