ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_u petroR50_g petroR50_r petroR50_i petroR50_z
1237649918428315915 13.7433475356801 13.7258324471796 0.04028029 0.05745251 62.88243 18.93039 18.04908 17.38298 17.13932 16.97554 19.3547 17.93955 17.36659 17.0822 16.92859 0.3140289 0.2446892 0.1692748 0.1257893 0.09356416 2.969442 10.91536 11.63026 11.45455 10.38588 7.144973 4.852886 5.263839 5.077859 5.258532
1237649918971805863 29.2126080640556 13.0645696872537 0.03308931 0.2681031 20.81021 18.73962 16.70362 16.29209 16.12175 16.04802 18.23229 16.75081 16.36956 16.13766 16.00262 0.2211082 0.172286 0.1191867 0.08856848 0.06587867 8.636774 12.1229 12.60258 11.67601 10.87792 3.157429 5.206872 5.294065 4.982326 4.624219
1237649919501467780 12.2908735477837 14.6440691530734 0.03952534 0.1227107 94.04393 19.63133 17.55652 16.86993 16.46119 16.22649 19.60516 17.6038 16.84804 16.43459 16.0835 0.2780615 0.2166636 0.1498869 0.111382 0.08284777 6.319989 6.459133 6.19614 5.976446 5.294692 2.849308 3.06957 2.785661 2.684928 2.369995
1237649919506448496 24.0470128499974 13.9701139556687 0.02363942 0.0132962 0 17.59492 16.72759 16.47611 16.37164 16.28868 17.61421 16.72576 16.49377 16.38133 16.22985 0.1978511 0.1541643 0.1066501 0.07925247 0.05894928 7.479164 6.892237 6.913649 6.961353 6.653838 3.549956 3.387722 3.333711 3.353206 3.174931
1237649919506448524 24.0632324246195 13.9452936688703 0.02385947 0 0 17.66675 16.80749 16.48392 16.35757 16.30719 17.81808 16.76649 16.47677 16.32784 16.22151 0.1959021 0.1526456 0.1055995 0.07847176 0.05836858 6.882278 7.690433 8.114013 8.385208 8.378591 3.804649 3.835033 3.908705 3.921309 3.750444
1237649919508676755 29.2195112618066 13.314038866862 0.04526507 0 44.17253 18.88541 17.57528 16.89643 16.54077 16.2754 18.93951 17.5337 16.83479 16.46827 16.18139 0.2265135 0.1764978 0.1221003 0.09073363 0.06748915 7.257118 6.867128 6.717215 6.36572 6.568326 3.510873 3.296064 3.156189 3.102055 3.053378
1237649920580255838 24.2292530966472 14.7145715113565 0.03429588 0.1396946 0 18.71109 17.47713 17.02635 16.63522 16.75944 18.91213 17.56384 17.04315 16.70869 16.62992 0.197301 0.1537356 0.1063536 0.07903211 0.05878537 14.25538 12.64066 11.39884 12.35229 10.65395 6.226446 5.341133 4.89013 5.305021 4.29812
1237649921117126900 24.3740328022733 15.1164710144751 0.0271785 0 0 18.52229 17.25509 16.77631 16.64443 17.17021 18.29413 17.16629 16.70811 16.46688 16.34574 0.2146577 0.1672598 0.1157096 0.08598461 0.06395675 11.89985 12.58543 13.06182 12.20023 10.92108 5.53097 6.028705 6.051661 5.571891 3.498965
1237649921119223868 29.3040502043066 14.7354561948865 0.02603042 1 147.6351 17.19403 15.46406 14.65418 14.23826 13.93439 17.28296 15.39144 14.54224 14.11333 13.77516 0.2227956 0.1736009 0.1200963 0.0892444 0.06638143 21.08035 13.02273 9.96761 9.321064 8.632148 5.360037 4.622491 4.205966 4.109615 3.890535
1237649921119224061 29.2959746314172 14.6743104661607 0.02610666 0.7865192 23.67398 19.59897 18.37696 17.6438 17.30141 17.10328 19.709 18.2388 17.50765 17.14506 16.88629 0.2092593 0.1630535 0.1127996 0.08382221 0.06234832 5.305019 3.376313 3.342208 3.263025 3.160254 2.002135 1.546836 1.532 1.507393 1.40784
1237649961384214685 56.596366691728 -7.20146036812011 0.03285269 0.144915 74.82899 18.04955 16.72957 16.12185 15.82195 15.6731 17.89188 16.70193 16.13484 15.8144 15.61925 0.3236333 0.2521729 0.1744521 0.1296366 0.09642579 4.442736 5.681547 6.163227 6.093513 5.5905 2.141149 2.651779 2.80646 2.80596 2.655006
1237649961921085765 56.5343878228761 -6.70942628272215 0.03309907 0.0818057 117.4152 18.51303 17.31715 16.81137 16.7391 16.76823 18.41908 17.27255 16.81272 16.56751 16.44918 0.2410256 0.1878055 0.129923 0.09654669 0.071813 12.4904 13.14159 13.61378 12.42051 11.24933 5.506887 5.906526 5.998593 5.215381 4.540035
1237650372092428519 179.767243374556 -1.39390087851487 0.02050668 0.6325667 68.28931 19.37733 18.0041 17.53381 17.35321 17.44421 18.74113 17.65509 17.25628 17.11043 17.00296 0.09599724 0.0748004 0.05174657 0.03845325 0.02860215 3.024447 5.179007 5.792191 5.811828 5.525478 1.54801 2.331946 2.538854 2.610694 2.168831
1237651066814267505 173.88656222389 64.8181621071757 0.02044159 0 61.35433 16.90922 15.68862 15.09681 14.79844 14.58058 16.88429 15.70566 15.08776 14.7759 14.51443 0.03824316 0.02979881 0.02061468 0.01531892 0.01139446 7.59153 7.891271 8.052256 8.125433 8.068029 3.871335 3.994916 4.016151 4.003448 3.906642
1237651067888795813 177.733884197536 65.9171602708058 0.04789756 0 13.24528 19.14203 17.95029 17.65899 17.44859 17.36415 18.9215 17.92273 17.6686 17.46201 17.36854 0.05685413 0.04430035 0.03064677 0.02277384 0.01693955 3.999945 4.801922 4.89884 5.032277 4.580555 1.939831 2.285771 2.338677 2.359294 2.253563
1237651190286975210 139.97110340239 55.5780666932053 0.04767346 0.3667545 46.53394 18.83467 17.79564 17.50855 17.34736 17.21028 18.72585 17.76727 17.56673 17.42908 17.29118 0.1207021 0.09405026 0.06506354 0.04834918 0.03596291 2.975195 3.328402 3.891888 3.967916 4.123702 1.48861 1.621813 1.855728 1.824002 1.909955
1237651190287040632 140.075959995665 55.5517285512617 0.04853855 0.3453968 86.87965 18.67381 17.30755 16.88949 16.68187 16.47365 18.64478 17.45084 17.05139 16.80295 16.64777 0.1230954 0.09591511 0.06635363 0.04930786 0.03667599 5.912179 6.715141 6.890602 6.618345 7.218582 2.820698 3.216702 3.308768 3.100298 3.388265
1237651190822273162 134.787388119361 53.5127492139506 0.04170959 0.2259144 55.54187 18.20447 17.14791 16.68783 16.39745 16.19309 18.27407 17.18623 16.72966 16.43073 16.2243 0.06635603 0.05170417 0.03576871 0.02657998 0.01977062 3.467025 3.486405 3.569711 3.504582 25.66518 1.773669 1.724828 1.733984 1.697073 1.678789
1237651191361110246 140.086417263597 56.7867266909233 0.04606621 0.7446665 55.47883 16.75878 15.63346 15.19961 14.92713 14.8835 16.55092 15.42439 14.90987 14.59929 14.38694 0.1731616 0.1349263 0.0933414 0.06936266 0.05159308 18.31617 16.02071 15.01621 14.61203 13.29351 6.614205 6.486785 5.988588 5.66173 4.642282
1237651191890641075 121.521778336547 44.6201810138318 0.02271361 0.2573034 71.15072 19.11364 18.29375 17.49649 17.79096 18.01466 19.57962 18.12654 17.60984 17.57583 17.48696 0.1806322 0.1407474 0.09736839 0.07235515 0.05381894 2.970144 12.99573 27.9199 14.18645 27.92453 15.89813 5.735263 7.200544 4.813516 3.7558
1237651191895031932 131.231177526084 52.4841493452187 0.04070729 0.6876125 191.4134 17.00459 15.03417 14.18092 13.67597 13.31845 17.1084 15.04122 14.13933 13.65497 13.28216 0.1453196 0.113232 0.0783334 0.05821011 0.04329763 19.91621 17.11005 15.02734 15.81472 16.10072 7.157995 6.830248 6.171634 6.413596 6.434705
1237651191896342771 134.791232063606 54.6298851078619 0.0474373 0.2939944 61.12888 18.0989 16.95719 16.4721 16.20115 16.18965 18.37463 17.12399 16.57279 16.26575 16.05083 0.0726004 0.05656974 0.03913468 0.02908126 0.02163112 8.984412 7.740168 7.052536 6.549259 5.583449 3.645927 3.377955 3.077569 2.910948 2.386859
1237651191896408358 134.787732659823 54.6936683267725 0.04743934 0.07965943 17.37614 18.22879 17.35933 17.09702 16.88623 16.90495 18.55546 17.38161 17.0428 16.77515 16.66574 0.07160073 0.0557908 0.03859582 0.02868083 0.02133327 12.21294 11.76707 11.45005 11.14913 10.11911 7.174528 6.150739 5.762359 5.562015 4.662374
1237651191896473635 135.001080962966 54.8105803595763 0.04618596 1 158.6756 18.36634 16.51004 15.71316 15.29224 14.97628 18.36788 16.43534 15.59545 15.18541 14.843 0.06621392 0.05159344 0.0356921 0.02652306 0.01972828 6.220382 6.318919 5.722535 5.753136 5.716359 2.697576 2.588416 2.372123 2.424297 2.399584
1237651192432361542 131.685269148716 53.539295279758 0.04693611 0.1183676 69.34784 19.05129 17.42519 16.45434 15.88156 15.6193 19.49351 17.4864 16.44144 15.8785 15.4488 0.1114408 0.08683395 0.06007132 0.04463943 0.03320353 2.969583 11.33609 10.86894 10.81896 9.121133 5.947596 4.844229 4.659567 4.732121 3.996891
1237651192435638433 141.960134320838 58.542824618292 0.02978052 0.6036305 68.84946 16.73832 15.11943 14.54779 14.16998 14.06472 16.25421 14.66752 14.01523 13.63569 13.38135 0.1445222 0.1126107 0.07790358 0.05789071 0.04306005 22.2455 25.02562 22.9121 24.38207 20.98698 10.71467 11.39229 10.76244 11.12741 9.918317
1237651192436621384 145.088341286526 59.9048213469446 0.03024136 0.2763588 61.97597 17.54333 16.19229 15.60939 15.28262 15.05939 17.67786 16.30358 15.66559 15.30563 15.03782 0.08701984 0.06780527 0.04690737 0.0348572 0.02592736 7.982034 7.828482 7.222502 6.784472 6.523553 3.692162 3.534712 3.217987 3.078285 2.871725
1237651213896188203 258.09707901373 62.5136422015397 0.03457266 0.1096642 57.9938 18.23646 16.87531 16.5782 16.31917 16.62608 17.9979 16.89771 16.56994 16.31466 16.302 0.1073075 0.08361328 0.05784328 0.04298376 0.03197202 10.34435 12.86638 11.86323 12.22967 10.38933 4.90015 6.083174 6.008213 6.016279 4.469894
1237651213896253608 258.112582727334 62.4874036601297 0.03473345 0.2762426 77.44066 18.02315 17.1245 16.87821 16.7238 16.70294 18.1587 17.2376 16.95496 16.765 16.64422 0.1058265 0.0824593 0.05704496 0.04239052 0.03153076 5.44425 5.286697 4.844893 4.595764 4.389541 2.50619 2.406621 2.249382 2.119879 1.998497
