  cls    ig     type   clase    smass     u         g        r         sfr      Mcoldgas  Mhotgas  Tau    OH       bt    ssfr    
  4      191806   1      CL     9.036    -16.801   -17.692   -18.132   -0.838   8.842    9.873    3.461   9.712    0.0     -9.874   
  30     220917   1      CL     9.131    -17.095   -17.964   -18.389   -0.635   9.396    9.763    3.29    9.759    0.0     -9.766   
  20     41155    0      IL     9.086    -17.313   -18.092   -18.456   -0.52    8.668    10.185   3.201   9.717    0.0     -9.606   
  2      10883    0      IN     10.327   -18.338   -19.235   -19.872   0.542    9.884    10.74    3.752   10.328   0.072   -9.785   
  31     186045   1      CL     9.536    -15.028   -16.784   -17.743   99.0     99.0     8.391    8.176   13.996   0.949   99.0     
  17     200433   1      CL     9.183    -15.03    -16.48    -17.289   99.0     8.508    9.18     7.139   9.663    0.0     99.0     
  33     13971    0      IN     10.035   -19.135   -19.812   -20.213   0.293    9.693    10.662   3.475   10.154   0.873   -9.742   
  27     12349    0      IN     10.171   -18.9     -19.726   -20.252   0.428    9.906    10.692   3.491   10.228   0.106   -9.743   
  23     39661    0      IL     9.112    -17.394   -18.182   -18.538   -0.4     9.299    10.167   3.209   9.676    0.0     -9.512   
  23     222265   1      IL     9.05     -16.274   -17.254   -17.775   99.0     9.184    9.908    4.643   9.704    0.0     99.0     
  26     202535   1      IN     9.443    -15.774   -17.247   -18.063   99.0     8.815    9.413    5.496   9.767    0.0     99.0     
  24     232499   1      RI     9.333    -17.284   -18.135   -18.587   -0.607   9.119    9.929    4.468   9.893    0.0     -9.94    
  17     24916    0      IL     9.013    -18.35    -19.015   -19.233   -0.129   9.758    10.388   1.433   9.314    0.01    -9.142   
  20     178391   0      CL     9.404    -14.917   -16.656   -17.612   99.0     99.0     3.6      6.288   13.996   0.0     99.0     
  13     203909   1      IL     10.527   -18.191   -19.218   -19.944   0.112    9.597    10.957   8.063   10.132   0.862   -10.415  
  17     5712     0      IL     10.341   -17.137   -18.919   -19.896   99.0     8.888    11.159   6.166   10.042   0.495   99.0     
  8      199549   1      IL     10.161   -17.045   -18.401   -19.274   -0.794   8.879    9.58     7.099   10.253   0.848   -10.955  
  12     236016   1      RI     9.178    -16.05    -17.115   -17.739   99.0     9.163    9.528    4.945   9.83     0.0     99.0     
  29     233982   1      CL     9.731    -15.525   -17.319   -18.301   99.0     99.0     7.662    6.92    13.996   0.991   99.0     
  29     234067   1      CL     10.519   -16.855   -18.775   -19.836   99.0     99.0     10.475   8.955   13.996   0.325   99.0     
  16     3484     0      IL     10.839   -16.965   -19.107   -20.304   99.0     9.802    11.389   8.072   10.271   0.762   99.0     
  8      199174   1      IL     9.346    -17.729   -18.535   -18.938   -0.333   9.829    10.216   3.318   9.75     0.027   -9.679   
  22     217023   1      CL     9.936    -17.155   -18.402   -19.19    -0.836   8.766    10.075   5.223   10.15    0.106   -10.772  
  24     38311    0      BS     9.565    -16.919   -17.981   -18.589   -0.542   9.265    10.119   4.864   9.63     0.034   -10.107  
  21     70809    0      BS     9.616    -15.605   -17.118   -18.005   99.0     8.916    9.506    8.19    9.227    0.397   99.0     
  4      27141    0      IN     9.317    -18.008   -18.73    -19.062   -0.29    9.684    10.291   3.254   9.745    0.0     -9.607   
  4      191792   1      IN     9.248    -16.68    -17.704   -18.25    -0.714   9.061    10.103   3.988   9.752    0.0     -9.962   
  16     9528     0      IL     9.666    -18.256   -19.109   -19.574   0.432    10.306   10.639   1.88    9.543    0.0     -9.234   
  34     42216    0      IL     9.047    -17.356   -18.167   -18.527   -0.484   9.244    10.136   2.558   9.653    0.0     -9.531   
  2      1715     0      IL     10.85    -18.075   -19.801   -20.823   -0.716   10.093   11.772   6.938   10.072   0.702   -11.566  
  16     56138    0      IL     9.285    -16.472   -17.754   -18.389   99.0     8.903    9.9      3.93    9.694    0.124   99.0     
  24     17700    0      IN     9.764    -18.658   -19.456   -19.904   -0.014   9.729    10.536   2.527   9.944    0.913   -9.778   
  25     16658    0      IL     9.93     -18.324   -19.186   -19.706   0.157    9.886    10.488   3.881   10.102   0.003   -9.773   
  25     237836   1      RI     9.519    -17.389   -18.355   -18.895   -0.408   9.396    10.003   3.916   9.814    0.0     -9.927   
  16     214989   1      CL     9.542    -15.83    -17.403   -18.256   99.0     8.729    9.248    5.352   9.963    0.94    99.0     
  5      38960    0      BS     9.77     -17.156   -18.261   -18.916   -0.666   9.14     9.886    5.997   9.748    0.124   -10.436  
