 cls ig      ra           dec       ty 
  7  45      20.81167      -1.60472  2
  7  46      20.33250      -1.57306  1
  7  47      21.40500      -1.56389  2
  7  48      21.25417      -1.51472  3
  7  49      21.21208      -1.50833  3
  7  50      21.17917      -1.53111  2
  7  51      20.95250      -1.53444  2
  7  52      20.83042      -1.52611  1
  7  53      20.82000      -1.55250  2
  7  54      20.64333      -1.51917  1
  7  55      20.58833      -1.51833  2
  7  56      20.87167      -1.48528  1
  7  57      20.71042      -1.45472  1
  7  58      20.49542      -1.45944  2
  7  59      21.29125      -1.39833  3
  7  60      21.26167      -1.36389  2
  7  61      21.13958      -1.38083  1
  7  62      21.00750      -1.37194  3
  7  63      21.36208      -1.22694  1
  7  64      21.06875      -1.23389  2
  7  65      20.83958      -1.24694  1
  7  66      21.29542      -1.16333  4
  7  67      21.16250      -1.16278  4
  7  68      20.96125      -1.19806  2
  7  69      20.18125      -1.16917  3
  7  70      21.01167      -1.12944  1
  7  71      21.36792      -0.99722  2
  7  72      20.73583      -0.96417  2
  7  73      20.17167      -0.96306  3
  7  74      21.05542      -0.90639  4
  7  75      20.16167      -0.90333  2
  8   1      40.84542      36.24583  3
  8   2      40.82333      36.26639  1
  8   3      40.82084      36.26556  1
  8   4      40.81167      36.30250  1
  8   5      40.59583      36.26861  2
  8   6      41.09667      36.38445  1
  8   7      41.07875      36.39917  2
  8   8      41.07625      36.37333  2
  8   9      40.92292      36.33917  2
  8  10      40.89250      36.38639  2
  8  11      40.87500      36.35000  1
  8  12      40.82958      36.37056  2
  8  13      40.82625      36.33250  3
  8  14      40.67000      36.38917  3
  8  15      40.50250      36.40639  2
  8  16      40.50250      36.35667  3
  8  17      40.40625      36.38861  1
  8  18      41.11792      36.47528  3
  8  19      40.92125      36.46806  2
  8  20      40.72875      36.48389  2
  8  21      40.70000      36.51305  2
  8  22      40.68417      36.45055  2
  8  23      40.60958      36.46944  3
  8  24      40.56083      36.50834  3
  8  25      40.52583      36.48667  2
  8  26      40.52000      36.50333  2
  8  27      40.51083      36.48667  3
  8  28      40.48583      36.50222  1
  8  29      40.44333      36.46194  3
  8  30      40.28292      36.49472  3
  8  31      41.16542      36.52583  2
  8  32      41.05958      36.52167  3
  8  33      40.98667      36.55361  2
  8  34      40.97125      36.55278  1
  8  35      40.94667      36.57667  2
  8  36      40.90042      36.58472  3
  8  37      40.89833      36.60278  1
  8  38      40.82667      36.60083  1
  8  39      40.80833      36.56278  1
  8  40      40.74958      36.59917  3
  8  41      40.76250      36.57667  2
  8  42      40.66375      36.58861  3
  8  43      40.54333      36.55695  3
  8  44      40.60917      36.57056  2
  8  45      40.52417      36.56722  2
  8  46      40.46542      36.55722  3
  8  47      40.44333      36.58389  1
  8  48      40.40958      36.53917  3
  8  49      40.39667      36.54445  2
  8  50      40.26958      36.55083  2
  8  51      40.17916      36.56361  2
  8  52      41.12167      36.64556  3
  8  53      41.10417      36.62056  3
  8  54      41.09417      36.66139  2
  8  55      40.95958      36.67139  2
  8  56      40.94500      36.67667  1
  8  57      40.92542      36.68250  3
  8  58      40.85917      36.69861  3
  8  59      40.84042      36.65583  3
  8  60      40.81750      36.66972  2
  8  61      40.81792      36.69305  2
  8  62      40.80458      36.63833  3
  8  63      40.80542      36.71361  2
  8  64      40.80458      36.70611  2
  8  65      40.79375      36.70694  2
  8  66      40.76042      36.71222  1
  8  67      40.77167      36.66222  1
  8  68      40.76167      36.71222  1
  8  69      40.75458      36.69889  1
  8  70      40.75083      36.69695  1
  8  71      40.73333      36.69833  1
  8  72      40.73000      36.67722  2
  8  73      40.69458      36.62500  2
  8  74      40.67583      36.66444  2
  8  75      40.66667      36.64639  1
  8  76      40.64958      36.64695  1
  8  77      40.64417      36.66750  3
  8  78      40.64042      36.64167  3
  8  79      40.60708      36.65472  2
  8  80      40.59292      36.68250  2
  8  81      40.58667      36.64167  2
  8  82      40.56333      36.63500  2
  8  83      40.53583      36.63861  2
  8  84      40.54125      36.71556  2
  8  85      40.52875      36.67778  2
  8  86      40.42750      36.70861  3
  8  87      40.29292      36.70250  2
  8  88      41.12292      36.78000  2
  8  89      41.09000      36.75750  3
  8  90      40.95792      36.72805  2
  8  91      40.95792      36.81333  2
  8  92      40.92292      36.77222  2
  8  93      40.84083      36.77028  1
  8  94      40.81167      36.75444  2
  8  95      40.74250      36.77056  3
  8  96      40.74125      36.74472  1
  8  97      40.69708      36.74472  2
  8  98      40.67667      36.74861  2
  8  99      40.67167      36.77583  2
  8 100      40.64958      36.75000  2
  8 101      40.65208      36.73417  2
  8 102      40.62667      36.77583  3
  8 103      40.61708      36.76333  3
  8 104      40.58417      36.74833  2
  8 105      40.51167      36.80556  2
  8 106      40.44125      36.76222  2
  8 107      40.19750      36.75278  1
  8 108      41.05375      36.89472  3
  8 109      41.15708      36.86750  2
  8 110      40.64167      36.89305  1
  8 111      40.50708      36.88639  3
  8 112      40.18833      36.84694  3
  8 113      40.85833      36.93917  2
  8 114      40.75667      36.95389  3
  8 115      40.45583      36.98833  3
  8 116      40.28167      36.94556  1
  8 117      40.30083      36.92778  2
  8 118      40.63083      37.09500  3
  8 119      40.62750      37.09861  2
  8 120      40.50375      37.02972  1
  9   1      44.23042       5.13583  3
  9   2      44.03167       5.11694  3
  9   3      43.62958       5.12083  3
  9   4      44.26333       5.22333  3
  9   5      44.25625       5.24000  2
  9   6      43.76625       5.23222  3
