 logrho,rho,tipo
   1.36530805     ,   23.1903915     ,           2
   1.37954855     ,   23.9634075     ,           2
   1.42530608     ,   26.6260109     ,           2
   1.24388564     ,   17.5341854     ,           2
   1.27688587     ,   18.9184647     ,           2
   1.22320080     ,   16.7186337     ,           3
  0.839633584     ,   6.91247559     ,           3
  0.726331949     ,   5.32515144     ,           3
  0.856667161     ,   7.18897772     ,           1
   1.09324074     ,   12.3948345     ,           1
  0.767725885     ,   5.85768318     ,           3
  0.807425857     ,   6.41838598     ,           3
  0.802490175     ,   6.34585571     ,           2
   1.15977859     ,   14.4470291     ,           2
   1.05484045     ,   11.3459387     ,           2
   1.07161129     ,   11.7926455     ,           1
   1.20383382     ,   15.9894600     ,           2
   1.28518605     ,   19.2835064     ,           3
   1.21320772     ,   16.3383312     ,           3
   1.25286758     ,   17.9006004     ,           3
   1.25808966     ,   18.1171417     ,           3
   1.11597919     ,   13.0610828     ,           2
   1.60722375     ,   40.4784355     ,           3
  0.861538649     ,   7.27007055     ,           3
   1.58436060     ,   38.4025955     ,           2
   1.14468265     ,   13.9534845     ,           3
   1.40950620     ,   25.6747475     ,           3
   1.59564173     ,   39.4132042     ,           1
   1.59184873     ,   39.0704803     ,           2
   1.62724102     ,   42.3878136     ,           2
   1.50332642     ,   31.8659172     ,           2
   1.40457082     ,   25.3846321     ,           2
   1.69350612     ,   49.3748856     ,           3
   1.65691197     ,   45.3849602     ,           3
   1.68875968     ,   48.8382072     ,           2
   1.36698616     ,   23.2801704     ,           3
   1.50025713     ,   31.6415043     ,           1
   1.86015689     ,   72.4697800     ,           2
   1.83963513     ,   69.1249924     ,           2
   1.92015517     ,   83.2061005     ,           2
   1.75492096     ,   56.8749313     ,           2
   1.36250889     ,   23.0414028     ,           1
   2.02929997     ,   106.979378     ,           2
   2.35152030     ,   224.657150     ,           1
   2.06148505     ,   115.208626     ,           3
   1.95357907     ,   89.8626099     ,           2
   2.27233887     ,   187.214203     ,           3
   1.49117744     ,   30.9868488     ,           2
   1.24942064     ,   17.7590866     ,           3
   1.60722375     ,   40.4784355     ,           3
   1.93654561     ,   86.4063492     ,           1
   2.13403583     ,   136.155701     ,           1
   2.12107086     ,   132.151093     ,           1
   2.06148505     ,   115.208626     ,           2
   2.20539188     ,   160.469269     ,           2
   1.16398835     ,   14.5877504     ,           1
   1.13009381     ,   13.4925442     ,           2
   1.33657265     ,   21.7056408     ,           3
   1.46502435     ,   29.1759052     ,           3
   1.52869427     ,   33.7826920     ,           2
   1.77748680     ,   59.9082718     ,           2
   2.07276583     ,   118.240417     ,           1
   1.98979139     ,   97.6768036     ,           2
